index,Idea,Score
0,"Expro Group Holdings N.V. engages in the provision of energy services in North and Latin America, Europe and Sub-Saharan Africa, the Middle East and North Africa, and the Asia-Pacific. The company provides well construction services, such as technology solutions in drilling, tubular running services, and cementing and tubulars; and well management services, including well flow management, subsea well access, and well intervention and integrity services. It serves exploration and production companies in onshore and offshore environments in approximately 60 countries. The company was founded in 1938 and is based in Houston, Texas.",3.619893078178836
1,"DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies for professional dental market worldwide. The company operates through two segments, Technologies & Equipment, and Consumables. The Technologies & Equipment segment provides dental equipment, such as treatment centers, imaging equipment, motorized dental handpieces, and other instruments for dental practitioners and specialists; dental CAD/CAM technologies for dental offices to support various digital dental procedures, including dental restorations; dentist-directed aligner solutions, SureSmile, and direct-to-consumer clear aligner solutions, as well as high frequency vibration technology device; implants; and urology catheters and other healthcare-related consumable products. The Consumables segment offers endodontic products comprising drills, filers, sealers, irrigation needles, and other tools or single-use solutions, which support root canal procedures; restorative products that include artificial teeth, dental ceramics, digital dentures, precious metal dental alloys, and crown and bridge porcelain products. It also provides small equipment products, which comprise intraoral curing light systems, dental diagnostic systems, and ultrasonic scalers and polishers, as well as dental anesthetics, prophylaxis paste, dental sealants, impression materials, teeth whiteners, and topical fluoride. DENTSPLY SIRONA Inc. was founded in 1877 and is headquartered in Charlotte, North Carolina.",4.131386759265309
2,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The index is designed to measure the volatility-driven weighted performance of the 100 constituents of the S&P 500 ® Index that exhibit the lowest volatility and low sensitivity to changes in the 10-year U.S. Treasury rates (interest rate risk).,1.6734210053848946
3,"In seeking to track the performance of the S&P Retail Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the retail segment of the S&P Total Market Index (""S&P TMI"").",2.656115704292249
4,"XORTX Therapeutics Inc., a late stage clinical pharmaceutical company, engages in the development and commercialization of therapies to treat progressive kidney diseases, diabetes, insulin resistance, metabolic syndrome, diabetes, diabetic nephropathy, and infection. It develops XRx-008, a late clinical stage program therapy for autosomal dominant polycystic kidney disease; XRx-101, an uric acid lowering agent used to treat patients infected with the coronavirus COVID-19 infection and acute kidney injury (AKI) associated health consequences; and XRX-225, a program for treatment of type 2 diabetic nephropathy. The company has a collaboration and license agreements with the Icahn School of Medicine to study the incidence of AKI and hyperuricemia in patients hospitalized with COVID-19; and with the University of Florida Research Foundation, Inc. XORTX Therapeutics Inc. is based in Alberta Beach, Canada.",7.280887960201631
5,"Xerox Holdings Corporation, a workplace technology company, designs, develops, and sells document management systems and solutions in the Americas, Europe, the Middle East, Africa, India, and internationally. It offers workplace solutions, including desktop monochrome, and color and multifunction printers; digital printing presses and light production devices, and solutions; and digital services that leverage workflow automation, personalization and communication software, content management solutions, and digitization services. The company also provides graphic communications and production solutions; and IT services, end user computing devices, network infrastructure, communications technology, and a range of managed IT solutions, such as technology product support, professional engineering, and commercial robotic process automation; and provides finance for the sale of Xerox, non-Xerox office, and IT services equipment. In addition, it provides FreeFlow a portfolio of software solutions for the automation and integration to the processing of print job comprises file preparation, final production, and electronic publishing. Further, the company sells paper products and wide-format systems, licensing, as well as standalone software such as CareAR, DocuShare, and XMPie. The company sells its products and services directly to its customers through its direct sales force, as well as through independent agents, dealers, value-added resellers, systems integrators, and e-commerce marketplaces. Xerox Holdings Corporation was founded in 1906 and is headquartered in Norwalk, Connecticut.",5.213924162851521
6,"In seeking to track the performance of the S&P Semiconductor Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index (""S&P TMI"").",2.7926907725806975
7,"The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices LLC compiles, maintains and calculates the index, which is designed to measure the performance of approximately 120 securities in the S&P SmallCap 600 ® Index that have exhibited the lowest volatility over the past 12 months.",2.258245089122082
8,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which is composed of constituents of the S&P SmallCap 600® Index that have the highest ""momentum score.""",2.2314735695540304
9,"Under normal circumstances, at least 80% of the fund's total assets will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a modified float-adjusted market cap weighted index that consists of common stocks in emerging markets, excluding common stocks of ""state-owned enterprises."" The fund is non-diversified.",2.536995511255334
